Date,Page,Content_Type,Keyword,Device,Country,Impressions,Clicks,CTR,Bounce_Rate,Time_on_Page_sec,Backlinks,Conversions,Revenue
2025-05-29,Page 1,Blog,growth,Desktop,Germany,4985,70,0.014,0.53,222.9,10,46,2021.46
2025-09-17,Page 19,Product Page,analytics,Tablet,Germany,223,22,0.099,0.52,49.9,24,4,83.52
2025-06-02,Page 18,Product Page,strategy,Mobile,Canada,2566,301,0.117,0.25,229.3,45,234,8415.63
2025-08-16,Page 1,Blog,marketing,Mobile,Germany,2856,698,0.244,0.36,173.6,17,96,3364.48
2025-08-01,Page 8,Blog,strategy,Mobile,UK,373,47,0.126,0.43,83.2,2,13,163.29
2025-05-14,Page 20,Case Study,marketing,Desktop,Germany,4441,769,0.173,0.33,283.8,40,308,14407.1
2025-09-08,Page 6,Case Study,data,Tablet,USA,2816,396,0.141,0.6,268.4,3,235,6182.3
2025-03-24,Page 16,Landing Page,SEO,Desktop,UK,1528,341,0.223,0.57,39.4,48,160,2574.77
2025-01-04,Page 11,FAQ,SEO,Mobile,Australia,612,110,0.18,0.33,178.5,7,65,2274.07
2025-07-23,Page 10,Case Study,conversion,Desktop,Germany,4363,975,0.223,0.48,202.5,26,518,12756.06
2025-09-01,Page 18,Case Study,data,Desktop,UK,3469,857,0.247,0.62,285.7,21,406,19885.54
2025-08-16,Page 13,Landing Page,data,Tablet,Canada,2535,598,0.236,0.26,160.6,23,147,1077.0
2025-10-28,Page 3,Blog,SEO,Mobile,India,2284,143,0.063,0.48,215.9,3,94,3420.84
2025-09-10,Page 7,FAQ,conversion,Mobile,Germany,4859,223,0.046,0.2,148.8,44,78,2035.52
2025-08-21,Page 4,Blog,data,Desktop,Australia,2404,175,0.073,0.42,242.3,44,154,3715.78
2025-09-12,Page 19,Case Study,data,Mobile,India,4943,1066,0.216,0.28,155.2,33,201,4470.51
2025-01-05,Page 4,Landing Page,conversion,Desktop,Germany,4702,976,0.208,0.24,181.4,42,174,7058.85
2025-03-27,Page 4,Blog,marketing,Tablet,India,4010,811,0.202,0.58,97.6,37,766,34284.65
2025-04-19,Page 12,Blog,growth,Mobile,India,2173,111,0.051,0.55,221.8,14,95,2979.05
2025-01-04,Page 12,Case Study,strategy,Mobile,Germany,2110,100,0.047,0.51,101.7,2,47,1885.01
2025-05-24,Page 5,Case Study,SEO,Tablet,UK,1620,111,0.069,0.65,187.4,23,24,1091.25
2025-02-01,Page 14,Product Page,growth,Mobile,USA,3029,96,0.032,0.47,171.0,43,0,0.0
2025-10-22,Page 19,Product Page,data,Mobile,India,3701,757,0.205,0.34,199.7,35,513,16992.28
2025-02-09,Page 18,FAQ,marketing,Desktop,Germany,4962,703,0.142,0.31,38.2,19,104,4578.92
2025-11-03,Page 13,FAQ,SEO,Desktop,Germany,817,18,0.022,0.23,114.7,11,18,850.16
2025-02-28,Page 7,FAQ,SEO,Mobile,Germany,605,77,0.127,0.33,132.7,17,26,438.59
2025-11-15,Page 9,Landing Page,SEO,Desktop,India,831,167,0.201,0.62,137.9,0,13,306.26
2025-10-22,Page 7,Blog,marketing,Mobile,Germany,4330,626,0.145,0.62,247.9,13,117,4086.39
2025-02-14,Page 17,Product Page,analytics,Desktop,Australia,3137,779,0.248,0.66,265.8,24,599,6437.69
2025-11-09,Page 16,FAQ,analytics,Mobile,India,4727,958,0.203,0.49,53.5,7,665,25335.78
2025-08-11,Page 7,FAQ,analytics,Mobile,UK,672,26,0.039,0.39,62.2,10,25,1243.09
2025-04-06,Page 17,Blog,marketing,Mobile,Australia,4605,348,0.076,0.34,226.2,41,327,10667.0
2025-09-09,Page 16,Product Page,SEO,Tablet,Canada,4317,991,0.23,0.67,156.2,24,161,4503.68
2025-04-12,Page 18,Product Page,analytics,Mobile,UK,1598,84,0.053,0.67,102.5,17,46,2190.67
2025-04-24,Page 1,Blog,analytics,Mobile,USA,1527,122,0.08,0.29,276.1,1,73,2546.04
2025-09-17,Page 1,Landing Page,SEO,Mobile,Canada,4637,966,0.208,0.36,91.1,12,381,12624.12
2025-10-24,Page 2,Product Page,strategy,Desktop,Germany,3875,479,0.124,0.38,228.6,8,45,2110.48
2025-05-02,Page 3,Case Study,marketing,Tablet,UK,2477,593,0.239,0.57,173.2,41,382,5247.98
2025-10-24,Page 10,FAQ,growth,Tablet,UK,4211,424,0.101,0.26,160.9,34,316,5374.57
2025-06-22,Page 13,Product Page,strategy,Mobile,USA,1969,261,0.133,0.39,141.3,18,89,4321.46
2025-08-12,Page 19,Landing Page,growth,Desktop,UK,2584,374,0.145,0.27,119.5,48,88,4278.55
2025-05-12,Page 16,Case Study,data,Tablet,USA,4465,368,0.082,0.24,290.9,40,87,2096.99
2025-01-29,Page 14,Case Study,strategy,Tablet,Australia,1356,130,0.096,0.22,280.0,22,46,486.2
2025-03-03,Page 16,Landing Page,strategy,Desktop,Canada,2246,438,0.195,0.29,123.7,30,281,9659.13
2025-07-16,Page 13,Product Page,data,Desktop,USA,3449,491,0.142,0.36,286.8,0,59,1458.6
2025-06-10,Page 19,Case Study,data,Desktop,Australia,3275,421,0.129,0.29,294.5,43,415,19201.41
2025-08-30,Page 7,Case Study,growth,Mobile,Australia,2248,124,0.055,0.2,105.1,28,71,1229.49
2025-07-16,Page 1,FAQ,growth,Mobile,Germany,4882,158,0.032,0.62,200.7,23,57,2726.52
2025-01-23,Page 14,FAQ,data,Desktop,Canada,1672,320,0.191,0.64,58.1,35,280,5954.59
2025-09-19,Page 8,Product Page,conversion,Mobile,USA,954,70,0.073,0.53,212.7,23,8,378.09
2025-06-24,Page 8,Blog,conversion,Desktop,Germany,997,57,0.057,0.65,279.4,6,32,256.26
2025-07-18,Page 9,Case Study,strategy,Tablet,Australia,4092,1008,0.246,0.39,203.2,47,450,14098.88
2025-01-27,Page 1,Case Study,data,Tablet,USA,784,58,0.074,0.54,91.6,32,40,490.66
2025-01-11,Page 10,Blog,SEO,Mobile,Australia,1928,344,0.178,0.48,237.9,12,226,10117.21
2025-03-28,Page 1,Landing Page,growth,Mobile,Canada,883,52,0.059,0.57,94.5,26,40,805.79
2025-05-26,Page 4,Landing Page,analytics,Mobile,Canada,3797,732,0.193,0.36,297.5,40,216,2794.62
2025-07-12,Page 11,FAQ,conversion,Desktop,USA,3081,106,0.034,0.48,199.8,14,24,838.11
2025-11-13,Page 3,Blog,growth,Desktop,Australia,1730,143,0.083,0.27,144.8,28,0,0.0
2025-02-17,Page 20,Product Page,data,Desktop,Australia,2656,352,0.133,0.67,239.6,44,258,10517.1
2025-02-17,Page 17,Product Page,marketing,Mobile,India,4649,286,0.062,0.64,131.3,41,82,1941.97
2025-01-02,Page 6,Case Study,SEO,Tablet,USA,992,246,0.248,0.42,34.4,32,245,10940.23
2025-07-24,Page 5,Landing Page,strategy,Desktop,Australia,4475,473,0.106,0.62,248.5,29,418,2498.72
2025-08-28,Page 3,Blog,conversion,Mobile,India,4440,56,0.013,0.52,285.9,34,21,785.1
2025-09-23,Page 17,Blog,marketing,Tablet,Canada,189,41,0.217,0.32,178.9,0,9,120.44
2025-09-19,Page 13,Product Page,conversion,Tablet,Canada,2328,53,0.023,0.65,290.7,33,34,554.9
2025-03-30,Page 10,Landing Page,marketing,Tablet,Canada,4959,67,0.014,0.6,234.2,16,25,495.56
2025-01-03,Page 8,Product Page,data,Mobile,Canada,509,107,0.21,0.31,79.2,4,66,1403.61
2025-07-21,Page 4,Case Study,conversion,Mobile,Australia,4556,139,0.031,0.7,202.6,37,19,834.35
2025-08-20,Page 13,FAQ,analytics,Mobile,USA,1257,25,0.02,0.34,134.1,13,21,875.89
2025-08-01,Page 8,FAQ,marketing,Desktop,India,468,7,0.015,0.39,121.1,20,5,168.86
2025-01-14,Page 1,Product Page,data,Desktop,USA,3066,522,0.17,0.7,240.9,45,445,20058.03
2025-10-02,Page 20,Product Page,growth,Desktop,Germany,1326,35,0.026,0.47,36.3,49,16,470.92
2025-04-26,Page 12,Landing Page,conversion,Tablet,Germany,693,159,0.229,0.26,72.8,34,84,2296.25
2025-10-31,Page 2,FAQ,SEO,Mobile,UK,1266,30,0.024,0.3,272.6,43,12,387.4
2025-08-22,Page 19,FAQ,marketing,Desktop,Australia,4329,199,0.046,0.67,119.6,43,8,372.15
2025-08-20,Page 2,Case Study,analytics,Desktop,USA,2914,652,0.224,0.33,224.2,16,283,2131.33
2025-04-09,Page 5,Product Page,conversion,Mobile,UK,1377,272,0.198,0.42,164.8,3,52,2245.65
2025-07-25,Page 7,Product Page,growth,Desktop,USA,2675,393,0.147,0.38,246.2,12,230,7516.51
2025-07-30,Page 17,Case Study,growth,Desktop,Australia,1481,349,0.236,0.23,82.3,50,330,9975.05
2025-07-15,Page 8,Case Study,data,Tablet,Germany,461,37,0.08,0.26,127.5,45,19,576.95
2025-04-09,Page 3,FAQ,marketing,Mobile,Canada,1645,291,0.177,0.26,159.1,47,38,864.1
2025-11-09,Page 19,FAQ,data,Tablet,Germany,3740,558,0.149,0.7,58.2,38,78,2464.86
2025-05-25,Page 12,Blog,marketing,Desktop,Australia,3712,843,0.227,0.35,151.6,11,95,1151.36
2025-04-10,Page 7,Blog,conversion,Mobile,USA,2391,570,0.238,0.5,54.7,34,396,3030.97
2025-03-04,Page 19,Product Page,strategy,Mobile,Canada,1488,208,0.14,0.58,277.4,48,136,2040.11
2025-07-13,Page 1,Landing Page,data,Tablet,Canada,3960,373,0.094,0.67,257.2,11,156,1542.74
2025-06-29,Page 10,Blog,growth,Desktop,Australia,3226,310,0.096,0.47,274.5,36,78,2108.55
2025-05-22,Page 4,Case Study,growth,Mobile,UK,3758,810,0.216,0.65,172.3,21,114,2911.94
2025-02-16,Page 17,Product Page,analytics,Mobile,India,2652,180,0.068,0.24,294.7,49,91,1231.6
2025-06-24,Page 8,Case Study,marketing,Mobile,Australia,699,14,0.02,0.43,134.9,41,11,393.91
2025-03-09,Page 18,Product Page,marketing,Tablet,Germany,3803,531,0.14,0.35,236.2,18,508,22608.16
2025-05-29,Page 10,Landing Page,SEO,Desktop,Australia,4939,246,0.05,0.29,48.0,25,213,1270.96
2025-04-01,Page 13,Case Study,analytics,Tablet,Canada,2928,295,0.101,0.23,232.3,37,238,9784.77
2025-05-29,Page 18,Product Page,growth,Desktop,India,2618,350,0.134,0.66,163.5,44,285,3789.43
2025-01-04,Page 15,Blog,growth,Mobile,Australia,3588,92,0.026,0.26,107.4,31,26,255.05
2025-09-03,Page 6,Landing Page,strategy,Desktop,Australia,4083,961,0.235,0.51,85.7,31,482,3484.8
2025-07-04,Page 9,Blog,conversion,Desktop,Canada,1407,191,0.136,0.66,208.9,7,173,2873.07
2025-06-27,Page 18,Landing Page,analytics,Desktop,Canada,2545,181,0.071,0.26,191.8,5,153,7028.71
2025-10-25,Page 5,FAQ,growth,Tablet,Australia,372,39,0.105,0.33,79.7,40,35,1650.21
2025-09-02,Page 10,Case Study,growth,Mobile,Australia,3346,804,0.24,0.7,183.0,8,69,542.09
2025-09-30,Page 12,Landing Page,conversion,Desktop,Germany,1921,124,0.065,0.45,263.8,15,35,1113.09
2025-03-10,Page 14,FAQ,marketing,Mobile,Germany,2183,540,0.247,0.33,43.1,46,465,22243.09
2025-03-10,Page 14,Product Page,conversion,Desktop,Germany,1910,107,0.056,0.29,31.5,38,31,737.93
2025-10-21,Page 19,Landing Page,strategy,Mobile,Australia,2158,263,0.122,0.42,65.4,40,58,984.95
2025-05-15,Page 11,Landing Page,growth,Mobile,India,3324,34,0.01,0.36,261.2,25,17,538.25
2025-06-30,Page 13,FAQ,marketing,Mobile,India,1802,222,0.123,0.57,65.6,8,40,749.53
2025-10-17,Page 3,Blog,strategy,Mobile,Canada,4788,367,0.077,0.47,183.3,8,54,2651.13
2025-02-24,Page 18,FAQ,conversion,Tablet,UK,1738,24,0.014,0.23,38.2,42,10,341.39
2025-07-06,Page 5,Case Study,marketing,Tablet,Germany,3754,841,0.224,0.34,232.1,29,301,3385.95
2025-02-08,Page 14,Blog,SEO,Desktop,Germany,651,89,0.137,0.5,113.1,45,12,500.44
2025-08-26,Page 8,Landing Page,marketing,Mobile,USA,1009,202,0.2,0.59,131.1,1,8,88.55
2025-02-13,Page 17,FAQ,strategy,Mobile,UK,1421,79,0.056,0.45,56.0,9,63,869.53
2025-07-20,Page 5,Blog,analytics,Desktop,India,1537,114,0.074,0.22,149.1,14,68,3358.87
2025-07-17,Page 8,Landing Page,data,Desktop,Australia,1876,93,0.05,0.42,108.8,42,93,1379.35
2025-03-30,Page 14,FAQ,growth,Tablet,Canada,2287,116,0.051,0.28,107.4,11,79,1933.0
2025-02-16,Page 8,FAQ,growth,Tablet,UK,4923,990,0.201,0.53,288.2,20,858,19778.59
2025-05-19,Page 13,Product Page,marketing,Desktop,UK,266,50,0.188,0.53,48.7,38,16,571.23
2025-11-09,Page 9,FAQ,conversion,Mobile,India,976,135,0.138,0.34,190.1,14,60,828.86
2025-01-01,Page 4,Landing Page,conversion,Tablet,Germany,1793,322,0.18,0.26,79.8,14,248,3310.9
2025-10-07,Page 20,Product Page,conversion,Mobile,Australia,3538,294,0.083,0.35,124.2,9,235,1857.29
2025-01-11,Page 7,FAQ,SEO,Mobile,Germany,595,131,0.22,0.69,192.8,28,121,1235.39
2025-08-29,Page 8,FAQ,strategy,Desktop,UK,2168,64,0.03,0.68,214.7,22,40,570.54
2025-02-05,Page 5,Product Page,strategy,Tablet,USA,4508,859,0.191,0.37,190.0,12,640,17772.45
2025-10-04,Page 2,Blog,SEO,Mobile,Canada,4007,77,0.019,0.62,97.3,37,2,49.8
2025-08-21,Page 19,Case Study,data,Desktop,USA,3460,303,0.088,0.3,145.5,22,155,5609.68
2025-09-13,Page 17,Product Page,marketing,Tablet,Canada,2594,129,0.05,0.44,103.3,17,70,600.74
2025-07-05,Page 13,Product Page,strategy,Desktop,India,3626,538,0.148,0.55,141.4,25,426,13651.77
2025-09-01,Page 2,Landing Page,strategy,Tablet,Australia,2687,416,0.155,0.3,282.5,34,84,4048.97
2025-10-16,Page 16,FAQ,growth,Mobile,India,4954,1233,0.249,0.29,59.4,47,159,6366.84
2025-04-15,Page 1,FAQ,data,Desktop,Australia,1293,75,0.058,0.22,219.3,44,59,2258.68
2025-05-28,Page 18,Case Study,marketing,Tablet,UK,3096,380,0.123,0.62,159.7,48,183,7763.79
2025-10-12,Page 19,Landing Page,SEO,Desktop,USA,1007,137,0.136,0.38,92.4,11,48,1030.5
2025-07-03,Page 3,Case Study,analytics,Mobile,Australia,2160,299,0.138,0.52,174.8,16,167,4106.16
2025-01-04,Page 17,Landing Page,SEO,Mobile,Canada,667,111,0.166,0.61,197.3,50,50,2375.33
2025-08-02,Page 2,Blog,data,Mobile,USA,3654,622,0.17,0.57,179.5,41,327,5702.13
2025-04-30,Page 18,FAQ,strategy,Tablet,Canada,4011,719,0.179,0.7,288.1,3,639,11580.24
2025-03-24,Page 19,Case Study,analytics,Desktop,Germany,922,147,0.159,0.35,253.0,35,2,66.77
2025-09-20,Page 6,Blog,analytics,Tablet,India,1175,19,0.016,0.33,200.4,13,2,75.06
2025-10-29,Page 3,Product Page,SEO,Desktop,Australia,663,106,0.16,0.23,258.3,26,20,726.0
2025-09-14,Page 19,Blog,conversion,Tablet,Canada,1536,337,0.219,0.34,114.4,20,286,4410.44
2025-09-29,Page 1,Landing Page,data,Desktop,Australia,2577,601,0.233,0.57,244.0,9,142,1297.97
2025-09-13,Page 16,FAQ,data,Tablet,Australia,3472,422,0.122,0.55,139.2,16,268,2916.43
2025-06-01,Page 18,FAQ,analytics,Desktop,USA,1310,129,0.098,0.27,141.9,39,119,5872.66
2025-08-24,Page 2,FAQ,data,Desktop,USA,2387,478,0.2,0.32,243.6,10,288,11645.54
2025-02-19,Page 10,Product Page,analytics,Mobile,Germany,2820,313,0.111,0.61,244.3,26,171,4648.22
2025-11-13,Page 15,Landing Page,conversion,Mobile,Canada,3344,306,0.092,0.44,262.7,36,203,2235.75
2025-03-15,Page 15,FAQ,marketing,Desktop,India,3170,460,0.145,0.54,112.2,0,63,2022.27
2025-09-14,Page 10,Case Study,data,Mobile,Canada,825,88,0.107,0.65,180.5,29,73,2796.88
2025-06-23,Page 2,Blog,analytics,Tablet,Australia,121,6,0.05,0.49,138.0,34,1,14.17
2025-05-02,Page 13,Case Study,conversion,Mobile,Germany,2288,451,0.197,0.29,109.3,50,256,6068.33
2025-07-20,Page 17,FAQ,growth,Tablet,UK,4118,1012,0.246,0.29,150.5,35,168,1521.17
2025-07-19,Page 18,Product Page,growth,Tablet,India,4406,845,0.192,0.47,164.1,44,521,14287.07
2025-01-06,Page 11,Landing Page,analytics,Desktop,USA,2373,191,0.08,0.44,210.0,30,124,3968.33
2025-07-24,Page 12,Blog,marketing,Desktop,USA,3660,844,0.231,0.21,82.1,40,814,19149.65
2025-05-05,Page 10,Product Page,growth,Mobile,Canada,2560,176,0.069,0.58,82.3,41,27,907.29
2025-03-06,Page 12,FAQ,growth,Desktop,India,2930,709,0.242,0.47,228.6,12,230,8089.64
2025-03-09,Page 11,Product Page,SEO,Desktop,UK,3595,456,0.127,0.5,40.1,12,257,2025.43
2025-09-22,Page 18,Case Study,SEO,Mobile,Australia,2423,494,0.204,0.2,63.0,13,297,4640.58
2025-09-03,Page 3,Product Page,data,Mobile,USA,805,119,0.148,0.64,228.2,26,34,1651.36
2025-03-01,Page 14,Product Page,SEO,Desktop,Canada,3372,376,0.112,0.4,164.2,4,185,6450.98
2025-08-20,Page 15,FAQ,data,Mobile,Canada,4335,831,0.192,0.3,218.7,2,273,8847.18
2025-01-20,Page 10,Blog,analytics,Mobile,USA,2758,391,0.142,0.44,130.3,14,16,246.62
2025-10-18,Page 17,Landing Page,SEO,Desktop,Australia,119,26,0.218,0.62,195.5,26,22,122.66
2025-02-02,Page 6,Case Study,analytics,Mobile,India,679,61,0.09,0.46,222.6,11,29,300.53
2025-11-03,Page 17,FAQ,strategy,Desktop,Canada,4312,1030,0.239,0.23,157.1,48,627,10383.1
